,Age,W,Pace,eFG%,TOV%,ORB%,FT/FGA,Dfg%,Dtov%,DRB%,Dft/fga,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%.1.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,ORB%.1,DRB%.1,TRB%,AST%,STL%,BLK%,TOV%.1.1,USG%,year
21,24.6,23,93.6,0.487,13.9,22.4,0.193,0.504,13.0,75.5,0.211,ORL,42.8,94.5,4.518,7.1000000000000005,20.1,2.8080000000000003,35.6,74.4,4.768,4.893,18.200000000000006,23.8,7.571000000000001,11.2,37.6,49.1,23.000000000000004,8.5,4.7,15.8,21.9,110.6,5.236000000000001,2.149,2.388,49.7,162.6,106.0,133.20000000000002,16.2,15.8,129.00000000000003,201.8,2014.0
22,23.4,19,99.2,0.475,14.8,24.8,0.19,0.524,14.9,72.4,0.244,PHI,44.7,101.79999999999998,4.4,7.6,24.3,2.6510000000000002,36.99999999999999,77.60000000000002,4.83,4.8069999999999995,20.4,27.6,7.277,14.400000000000002,36.8,51.2,25.6,10.1,4.3,18.7,24.6,117.1,5.1720000000000015,2.526,2.6889999999999996,56.40000000000001,147.59999999999997,100.4,143.7,17.3,12.0,138.60000000000002,197.6,2014.0
23,26.2,48,95.8,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,PHO,41.80000000000001,89.10000000000002,4.613,9.9,26.6,2.8000000000000007,31.9,62.5,5.021,5.093,20.4,26.8,7.327999999999999,11.1,33.1,44.1,22.200000000000006,9.4,4.500000000000001,16.4,22.1,113.3,5.452000000000001,2.7239999999999998,2.8229999999999995,50.8,146.2,98.60000000000002,131.7,18.6,14.3,142.7,199.1,2014.0
24,25.8,54,94.9,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,POR,41.2,92.2,4.502000000000002,9.9,26.2,2.434,31.700000000000006,65.8,4.812,5.037,20.000000000000004,24.7,7.7109999999999985,13.2,35.5,48.7,23.7,5.7,5.0,13.9,19.6,112.5,5.409000000000002,2.914,2.5810000000000004,62.00000000000001,152.2,107.70000000000002,132.0,11.8,13.3,129.5,194.6,2014.0
25,24.9,28,94.4,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,SAC,40.40000000000001,90.3,4.379,6.6000000000000005,19.9,2.508,33.7,70.49999999999999,4.6560000000000015,4.743,23.2,30.300000000000004,7.5299999999999985,11.8,32.8,44.6,19.6,7.399999999999999,4.2,15.500000000000002,22.5,110.1,5.17,2.25,3.0920000000000005,52.8,148.1,99.70000000000002,120.3,14.099999999999998,13.900000000000002,123.7,193.0,2014.0
26,28.9,62,95.0,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,SAS,41.6,84.5,4.985,8.5,21.5,2.773,33.2,63.29999999999999,5.276,5.4849999999999985,16.4,21.0,7.854999999999999,9.2,34.099999999999994,43.3,25.6,7.5,5.4,14.3,17.3,108.2,5.8100000000000005,2.503,2.521,48.7,154.39999999999995,103.6,159.5,15.8,15.900000000000002,140.2,200.1,2014.0
27,25.6,48,91.8,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,TOR,43.8,99.5,4.492,10.0,26.4,2.944,33.9,73.0,4.666,4.995,23.6,30.1,7.659,12.8,35.7,48.8,23.8,8.3,5.5,16.499999999999996,25.200000000000006,121.1,5.421,2.634,3.212,58.90000000000001,153.39999999999995,105.79999999999998,137.89999999999998,15.2,15.6,129.1,203.00000000000003,2014.0
28,24.5,25,91.4,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,UTA,38.50000000000001,87.00000000000001,4.386,7.199999999999998,20.8,2.425,31.2,66.1,4.609,4.827000000000001,17.1,22.6,7.525999999999999,11.3,30.9,42.4,21.899999999999995,7.3,4.3,14.3,21.100000000000005,101.2,5.143,2.535,2.305,50.0,140.9,94.0,136.20000000000002,15.4,12.5,128.2,193.9,2014.0
29,26.3,44,93.2,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22,WAS,41.6,90.0,4.6000000000000005,8.5,22.4,3.299,32.9,67.5,4.852,5.034,16.3,22.6,7.431999999999999,10.500000000000002,32.3,42.8,23.4,8.2,4.8,14.800000000000002,21.4,107.8,5.343,2.384,2.423,51.89999999999999,147.2,98.7,134.39999999999998,16.2,16.7,132.9,199.3,2014.0
30,27.8,60,93.9,0.527,13.5,21.4,0.201,0.4920000000000001,14.9,73.4,0.185,ATL,39.2,84.1,4.5280000000000005,10.4,27.3,3.5730000000000004,28.6,56.8,4.9430000000000005,5.214000000000001,17.8,22.9,7.688,8.9,33.4,42.2,26.000000000000004,9.4,4.5,13.9,18.3,106.5,5.5889999999999995,3.659,2.732,43.1,149.8,98.0,164.5,19.0,14.699999999999998,127.2,198.7,2015.0
31,25.0,40,95.8,0.489,12.5,24.7,0.17600000000000002,0.494,13.7,75.0,0.208,BOS,43.0,97.3,4.449000000000002,8.0,25.7,2.714,35.2,71.7,4.858999999999999,4.847999999999999,16.599999999999998,22.4,7.164,12.2,38.6,50.8,30.9,9.6,3.9,15.6,23.0,111.0,5.165,2.562,2.367,52.2,161.0,105.8,167.2,17.5,12.1,128.60000000000002,199.3,2015.0
