,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
44,29.6,55,92.0,24.7,MEM,2.8420000000000005,7.552999999999999,13.999999999999998,104.0,5.247000000000001,1.98,2.5420000000000003,96.9,152.5,20.6,14.1,2015.0
45,28.5,37,90.9,23.2,MIA,2.7710000000000004,7.266999999999999,15.299999999999995,104.5,5.4030000000000005,2.3149999999999995,3.3710000000000004,112.6,139.5,16.3,20.7,2015.0
46,24.6,41,94.1,25.4,MIL,2.5569999999999995,7.689,18.200000000000006,111.2,5.4250000000000025,2.225,2.7510000000000003,99.2,168.50000000000003,20.6,18.5,2015.0
47,24.4,16,94.4,26.6,MIN,2.91,7.8210000000000015,16.0,121.2,5.209,1.729,3.0489999999999995,98.5,141.5,15.3,11.4,2015.0
48,25.3,45,91.4,27.1,NOP,2.5989999999999998,7.471999999999999,13.900000000000002,115.0,5.5329999999999995,2.58,2.4720000000000004,108.1,132.30000000000004,14.099999999999998,19.9,2015.0
49,26.9,17,91.2,24.5,NYK,2.742,7.970999999999999,14.1,102.5,5.165000000000001,2.0580000000000003,2.317,101.7,145.60000000000005,14.4,15.7,2015.0
50,25.4,45,95.7,28.9,OKC,2.623,7.079,16.5,123.20000000000002,5.296,2.5340000000000003,2.894,106.8,143.5,15.1,20.4,2015.0
51,24.3,25,93.8,23.1,ORL,2.966,7.372000000000001,15.1,103.1,5.2860000000000005,2.455,2.3990000000000005,107.0,120.7,16.0,17.2,2015.0
52,23.2,18,95.7,25.5,PHI,2.632000000000001,6.827000000000001,19.8,102.7,4.976999999999999,3.174,3.178,91.0,155.0,20.3,21.9,2015.0
53,25.7,39,96.3,24.5,PHO,2.778,7.23,15.400000000000002,112.7,5.515,2.4530000000000003,2.5580000000000003,102.4,123.7,17.4,18.7,2015.0
54,27.0,51,94.2,24.2,POR,2.9760000000000004,7.991,14.500000000000002,115.5,5.506,3.508,2.045,99.5,130.2,12.4,12.699999999999998,2015.0
55,26.0,29,95.4,26.5,SAC,2.684,7.638,16.900000000000002,115.70000000000002,5.414,2.236,3.375,98.4,132.79999999999998,13.7,12.499999999999995,2015.0
56,29.8,55,93.8,23.4,SAS,3.133,7.891,14.1,106.5,5.668000000000001,2.282,2.825,104.3,162.00000000000003,16.7,16.9,2015.0
57,26.1,49,92.8,25.6,TOR,2.8560000000000003,7.586,13.4,113.5,5.642,2.736,3.244,101.4,130.8,15.699999999999998,15.4,2015.0
58,23.4,38,90.4,29.1,UTA,2.857,7.037000000000001,15.2,101.3,5.247000000000001,2.994,2.857,106.90000000000002,133.4,17.3,19.2,2015.0
59,28.6,46,93.7,24.9,WAS,2.412,7.4049999999999985,13.9,101.7,5.315,1.919,2.322,111.5,128.3,14.0,16.6,2015.0
60,28.2,48,97.1,19.1,ATL,3.209,7.9570000000000025,14.499999999999998,104.4,5.598,3.4130000000000003,2.306,92.3,162.3,18.1,16.5,2016.0
61,25.2,48,98.5,25.1,BOS,2.8680000000000008,7.6320000000000014,13.7,109.29999999999998,5.35,2.732,2.72,106.1,143.9,17.6,15.2,2016.0
62,26.9,21,95.2,24.1,BRK,2.85,7.5779999999999985,16.4,103.7,5.1640000000000015,2.511,2.4730000000000003,97.5,169.29999999999995,16.4,11.7,2016.0
