,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Tm,Age,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year
24,25.8,54,28,3.99,0.45,111.5,107.4,4.1,94.9,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.19399999999999998,POR,257,699,410,251.89999999999998,41.2,92.2,4.502000000000001,9.9,26.2,2.4339999999999997,31.700000000000003,65.8,4.812,5.037,20.000000000000004,24.7,7.7109999999999985,13.2,35.5,48.699999999999996,23.7,5.7,5.0,13.9,19.6,112.5,18668,147.70000000000002,5.409000000000001,2.9139999999999997,2.581,62.00000000000001,152.2,107.70000000000002,132.0,11.8,13.3,129.5,194.6,32.699999999999996,17.3,50.00000000000001,1.096,2.399999999999999,-0.8,1.6999999999999997,15.500000000000002,20140
25,24.9,28,54,-2.9,0.82,105.7,108.8,-3.1,94.4,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.23399999999999999,SAC,243,639,351,252.6,40.400000000000006,90.3,4.3790000000000004,6.6000000000000005,19.9,2.508,33.7,70.49999999999999,4.656000000000001,4.743,23.199999999999996,30.300000000000004,7.5299999999999985,11.799999999999999,32.8,44.6,19.599999999999998,7.3999999999999995,4.2,15.500000000000002,22.5,110.10000000000001,16408,136.3,5.17,2.25,3.0920000000000005,52.8,148.1,99.70000000000002,120.3,14.099999999999998,13.900000000000002,123.7,193.0,17.400000000000002,12.499999999999998,30.099999999999998,0.7799999999999999,-4.8,-2.9,-7.6,7.500000000000001,20140
26,28.9,62,20,7.72,0.28,110.5,102.4,8.1,95.0,0.537,13.5,22.7,0.188,0.48200000000000004,12.8,76.4,0.184,SAS,290,716,380,238.40000000000003,41.599999999999994,84.5,4.985,8.5,21.5,2.7729999999999997,33.2,63.29999999999999,5.276,5.484999999999999,16.4,21.0,7.8549999999999995,9.200000000000001,34.099999999999994,43.3,25.6,7.5,5.3999999999999995,14.3,17.3,108.2,17019,168.89999999999998,5.8100000000000005,2.5029999999999997,2.521,48.7,154.39999999999998,103.60000000000001,159.5,15.8,15.900000000000002,140.2,200.1,27.7,26.2,54.0,1.5150000000000001,10.3,11.299999999999999,21.599999999999998,18.9,20140
27,25.6,48,34,3.24,-0.69,108.8,105.3,3.5,91.8,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,TOR,260,648,407,275.1,43.8,99.5,4.492,10.0,26.400000000000002,2.944,33.9,73.0,4.666,4.995,23.6,30.1,7.659,12.8,35.7,48.8,23.8,8.3,5.5,16.499999999999996,25.200000000000003,121.1,17864,148.89999999999998,5.421,2.634,3.2119999999999997,58.900000000000006,153.39999999999998,105.79999999999998,137.89999999999998,15.2,15.6,129.1,203.00000000000003,27.4,21.200000000000003,48.4,1.174,3.5000000000000004,1.1,4.6,12.799999999999999,20140
28,24.5,25,57,-7.17,0.91,103.5,111.3,-7.8,91.4,0.484,13.9,25.5,0.20199999999999999,0.518,12.1,74.5,0.22699999999999998,UTA,251,705,405,253.3,38.50000000000001,87.00000000000001,4.386,7.199999999999999,20.8,2.425,31.199999999999996,66.1,4.609,4.827000000000001,17.1,22.6,7.525999999999999,11.3,30.9,42.4,21.899999999999995,7.3,4.3,14.299999999999999,21.100000000000005,101.19999999999999,18329,133.49999999999997,5.143,2.535,2.305,50.0,140.9,93.99999999999999,136.20000000000002,15.399999999999999,12.5,128.2,193.9,14.300000000000002,7.999999999999999,21.9,0.47400000000000003,-9.1,-9.799999999999999,-18.9,2.7999999999999994,20140
29,26.3,44,38,1.27,-0.79,106.0,104.6,1.4,93.2,0.506,13.6,25.2,0.18100000000000002,0.504,15.0,75.7,0.22,WAS,268,678,408,252.29999999999998,41.6,90.0,4.6000000000000005,8.5,22.4,3.299,32.9,67.5,4.852,5.034,16.3,22.6,7.4319999999999995,10.500000000000002,32.3,42.8,23.4,8.2,4.8,14.800000000000002,21.4,107.8,17885,140.3,5.343,2.384,2.423,51.89999999999999,147.2,98.69999999999999,134.39999999999998,16.2,16.7,132.9,199.3,19.900000000000002,22.2,41.99999999999999,0.959,-9.599999999999998,2.6000000000000005,-7.200000000000001,10.9,20140
0,27.8,60,22,5.43,-0.68,108.9,103.1,5.8,93.9,0.527,13.5,21.4,0.201,0.49200000000000005,14.9,73.4,0.185,ATL,278,702,395,246.4,39.2,84.1,4.5280000000000005,10.4,27.3,3.5730000000000004,28.6,56.8,4.943,5.214000000000001,17.8,22.900000000000002,7.688,8.9,33.4,42.199999999999996,26.000000000000004,9.4,4.5,13.9,18.299999999999997,106.5,17519,156.50000000000003,5.589,3.6590000000000003,2.7319999999999998,43.099999999999994,149.8,98.0,164.5,19.0,14.699999999999998,127.2,198.7,27.000000000000007,22.999999999999996,50.00000000000001,1.2560000000000002,4.099999999999998,3.6999999999999993,7.899999999999999,15.5,20150
1,25.0,40,42,0.16,-0.56,104.7,104.5,0.2,95.8,0.489,12.5,24.7,0.17600000000000002,0.494,13.7,75.0,0.20800000000000002,BOS,249,624,408,268.99999999999994,43.0,97.3,4.449000000000001,8.0,25.7,2.714,35.2,71.7,4.858999999999999,4.847999999999999,16.599999999999998,22.4,7.164,12.2,38.6,50.8,30.9,9.6,3.9000000000000004,15.6,22.999999999999996,110.99999999999999,16319,148.4,5.165,2.562,2.367,52.2,161.0,105.8,167.2,17.5,12.1,128.60000000000002,199.29999999999998,14.5,19.1,33.50000000000001,1.003,-3.3999999999999995,2.3000000000000003,-1.4000000000000004,7.1000000000000005,20150
2,28.6,38,44,-2.88,-0.25,104.4,107.4,-3.0,92.7,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,BRK,294,644,364,264.1,42.699999999999996,93.5,4.575,7.8,22.400000000000002,2.664,35.0,71.10000000000001,4.9510000000000005,5.0040000000000004,17.6,23.7,7.61,11.1,37.0,48.099999999999994,22.799999999999997,7.9,4.5,14.8,20.5,110.8,17162,149.89999999999998,5.326999999999999,2.532,2.613,49.00000000000001,162.8,106.00000000000001,131.7,15.700000000000001,13.200000000000001,125.60000000000001,202.29999999999998,17.299999999999997,13.500000000000002,30.9,0.845,-0.6999999999999995,-3.1999999999999993,-3.8,6.8999999999999995,20150
3,28.8,50,32,3.0,-0.46,107.5,104.3,3.2,92.8,0.489,12.9,27.0,0.23800000000000002,0.473,11.3,74.4,0.182,CHI,287,688,409,277.4,42.30000000000001,95.99999999999999,4.371000000000001,9.100000000000001,25.6,2.946,33.300000000000004,70.1,4.686,4.901,23.200000000000003,29.7,7.711,13.5,38.6,51.8,26.0,7.2,6.700000000000001,15.399999999999999,20.199999999999996,116.60000000000001,18864,152.2,5.3340000000000005,2.9690000000000003,2.948000000000001,51.3,143.7,98.6,153.60000000000002,13.299999999999997,16.6,126.49999999999999,198.70000000000002,27.299999999999994,22.2,49.7,1.1740000000000002,3.8,1.6999999999999997,5.499999999999998,14.0,20150
