,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
171,0.36,0.7759999999999999,42.6,22.2,7.7,4.2,20.9,102.7,NOP,26.6,30.0,0.24,96.8,0.277,0.537,12.3,21.2,0.201,0.523,12.7,78.8,0.225,2015-16
172,0.37,0.7509999999999999,43.5,22.0,6.7,6.2,18.7,99.4,NOP,25.3,45.0,0.34,91.4,0.233,0.537,12.5,27.1,0.198,0.496,11.7,75.1,0.195,2014-15
173,0.373,0.769,41.7,21.3,7.9,6.4,22.6,99.7,NOP,24.3,34.0,0.73,92.2,0.193,0.537,12.9,26.9,0.22,0.515,13.6,73.8,0.249,2013-14
174,0.337,0.6940000000000001,46.5,22.1,7.6,4.7,22.2,105.8,NYK,24.5,21.0,-0.09,98.6,0.318,0.531,12.6,25.8,0.182,0.541,12.4,78.3,0.224,2019-20
175,0.34,0.759,44.7,20.1,6.8,5.1,20.9,104.6,NYK,23.4,17.0,0.28,99.6,0.334,0.529,12.4,22.1,0.205,0.5329999999999999,11.7,76.1,0.203,2018-19
176,0.35200000000000004,0.787,44.0,23.3,6.7,5.1,20.5,104.5,NYK,26.3,29.0,0.03,96.8,0.266,0.544,13.3,24.1,0.17,0.522,12.2,76.7,0.208,2017-18
177,0.348,0.7879999999999999,45.2,21.8,7.1,5.5,20.3,104.3,NYK,27.3,31.0,-0.2,96.0,0.279,0.534,12.4,26.6,0.188,0.511,11.7,74.1,0.214,2016-17
178,0.34600000000000003,0.805,44.4,20.5,5.7,5.7,19.7,98.4,NYK,27.2,32.0,0.0,93.4,0.256,0.527,12.6,23.7,0.205,0.487,10.5,75.8,0.204,2015-16
179,0.34700000000000003,0.769,40.4,21.3,7.0,4.7,21.6,91.9,NYK,26.9,17.0,-0.18,91.2,0.24,0.508,14.0,24.5,0.18,0.512,13.3,73.1,0.234,2014-15
180,0.3720000000000001,0.7609999999999999,40.3,20.0,7.7,4.5,22.1,98.6,NYK,28.3,37.0,-0.61,90.3,0.302,0.541,12.5,25.1,0.189,0.514,14.0,74.3,0.245,2013-14
