,Age,W,TOV%,ORB%,Dfg%,DRB%,Tm,3P%,2P,FT%,DRB,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
49,26.9,17,14.0,24.5,0.512,73.1,NYK,2.742,32.4,7.970999999999999,31.3,102.5,5.165000000000001,2.0580000000000003,2.317,101.7,145.60000000000005,14.4,15.7,2015.0
50,25.4,45,13.1,28.9,0.489,75.6,OKC,2.623,36.3,7.079,38.8,123.20000000000002,5.296,2.5340000000000003,2.894,106.8,143.5,15.1,20.4,2015.0
51,24.3,25,14.0,23.1,0.514,76.0,ORL,2.966,33.0,7.372000000000001,35.1,103.1,5.2860000000000005,2.455,2.3990000000000005,107.0,120.7,16.0,17.2,2015.0
52,23.2,18,16.0,25.5,0.4970000000000001,73.0,PHI,2.632000000000001,28.099999999999994,6.827000000000001,32.0,102.7,4.976999999999999,3.174,3.178,91.0,155.0,20.3,21.9,2015.0
53,25.7,39,13.7,24.5,0.4970000000000001,73.5,PHO,2.778,33.5,7.23,35.40000000000001,112.7,5.515,2.4530000000000003,2.5580000000000003,102.4,123.7,17.4,18.7,2015.0
54,27.0,51,12.6,24.2,0.47600000000000003,76.2,POR,2.9760000000000004,32.1,7.991,36.6,115.5,5.506,3.508,2.045,99.5,130.2,12.4,12.699999999999998,2015.0
55,26.0,29,14.8,26.5,0.507,75.2,SAC,2.684,35.2,7.638,34.800000000000004,115.70000000000002,5.414,2.236,3.375,98.4,132.79999999999998,13.7,12.499999999999995,2015.0
56,29.8,55,13.1,23.4,0.484,77.3,SAS,3.133,32.8,7.891,34.1,106.5,5.668000000000001,2.282,2.825,104.3,162.00000000000003,16.7,16.9,2015.0
57,26.1,49,12.0,25.6,0.506,73.3,TOR,2.8560000000000003,31.9,7.586,32.9,113.5,5.642,2.736,3.244,101.4,130.8,15.699999999999998,15.4,2015.0
58,23.4,38,14.6,29.1,0.491,76.3,UTA,2.857,30.4,7.037000000000001,34.4,101.3,5.247000000000001,2.994,2.857,106.90000000000002,133.4,17.3,19.2,2015.0
59,28.6,46,14.0,24.9,0.48100000000000004,77.3,WAS,2.412,33.7,7.4049999999999985,35.4,101.7,5.315,1.919,2.322,111.5,128.3,14.0,16.6,2015.0
60,28.2,48,13.8,19.1,0.48,74.6,ATL,3.209,29.2,7.9570000000000025,33.8,104.4,5.598,3.4130000000000003,2.306,92.3,162.3,18.1,16.5,2016.0
61,25.2,48,12.1,25.1,0.48700000000000004,74.6,BOS,2.8680000000000008,31.3,7.6320000000000014,33.7,109.29999999999998,5.35,2.732,2.72,106.1,143.9,17.6,15.2,2016.0
62,26.9,21,13.6,24.1,0.534,75.7,BRK,2.85,32.5,7.5779999999999985,33.0,103.7,5.1640000000000015,2.511,2.4730000000000003,97.5,169.29999999999995,16.4,11.7,2016.0
63,27.6,42,12.6,24.5,0.485,74.9,CHI,3.2460000000000004,33.9,7.8039999999999985,35.9,110.5,5.24,2.6230000000000007,2.113,96.7,143.8,12.2,15.8,2016.0
64,26.0,48,11.7,20.0,0.496,79.8,CHO,2.890000000000001,28.5,7.8450000000000015,38.3,108.2,5.354,3.3600000000000003,2.7130000000000005,106.7,137.79999999999998,14.3,19.500000000000004,2016.0
65,28.1,57,12.7,25.1,0.496,78.5,CLE,2.9730000000000003,31.3,7.624,35.1,114.4,5.541,3.404,2.524,97.4,154.70000000000005,14.1,12.8,2016.0
66,30.3,42,12.0,20.6,0.504,76.2,DAL,2.8800000000000003,27.4,8.072000000000001,32.7,106.1,5.383000000000001,3.359,2.805,94.7,153.7,15.000000000000005,10.2,2016.0
67,24.7,33,13.2,25.8,0.515,77.3,DEN,3.44,32.0,7.9289999999999985,35.1,110.6,5.2810000000000015,2.8139999999999996,2.512,105.5,152.9,14.2,14.699999999999998,2016.0
68,25.0,44,12.2,27.0,0.504,79.3,DET,3.1060000000000003,32.99999999999999,7.379999999999999,38.3,115.6,5.269,3.4440000000000004,2.648,105.4,130.99999999999997,13.7,12.000000000000002,2016.0
69,27.4,73,13.5,23.5,0.479,76.0,GSW,4.324,28.6,7.499,35.5,114.3,5.792000000000002,3.1670000000000007,2.1990000000000003,101.1,161.4,16.0,18.4,2016.0
70,27.8,41,14.2,25.7,0.516,72.8,HOU,2.742,27.000000000000004,7.004,32.7,109.90000000000002,5.391,3.662,3.244,94.0,139.2,19.9,17.900000000000006,2016.0
71,26.9,45,13.5,23.4,0.489,76.0,IND,2.234,32.0,7.497999999999998,35.80000000000001,107.70000000000002,5.410000000000001,2.273,2.6790000000000003,105.9,122.3,17.3,18.0,2016.0
72,29.7,53,12.1,20.1,0.48,73.8,LAC,3.117,30.9,7.3969999999999985,33.800000000000004,111.6,5.412999999999999,3.5789999999999997,3.1660000000000004,86.1,156.4,18.0,13.0,2016.0
73,26.5,17,12.5,23.1,0.523,74.7,LAL,2.292,28.5,8.004999999999999,31.1,103.3,5.199,2.549,2.879,91.29999999999998,142.4,15.099999999999998,13.3,2016.0
74,30.5,42,12.3,25.3,0.518,75.1,MEM,3.627,34.300000000000004,7.9529999999999985,33.3,112.6,5.276,2.458,3.031,96.0,145.20000000000005,19.7,14.999999999999998,2016.0
75,28.4,48,13.3,23.8,0.485,77.8,MIA,3.037,38.40000000000001,7.415999999999999,38.0,122.7,5.534,2.648,2.661,94.0,134.1,14.4,19.0,2016.0
76,23.5,33,14.2,24.9,0.51,73.1,MIL,2.234,35.9,7.2929999999999975,33.7,109.4,5.345999999999999,2.153,2.592,98.9,137.0,17.099999999999998,26.8,2016.0
77,24.6,29,13.9,24.3,0.524,74.7,MIN,3.174,32.5,7.812,30.6,106.5,5.392,2.415,3.199,91.0,151.6,16.4,13.2,2016.0
78,26.6,30,12.3,21.2,0.523,78.8,NOP,2.7319999999999998,32.7,7.756,34.0,113.2,5.384,2.617,2.6660000000000004,101.6,127.9,15.8,15.2,2016.0
79,27.2,32,12.6,23.7,0.48700000000000004,75.8,NYK,3.0929999999999995,29.5,8.147,33.6,102.4,5.303000000000001,2.96,2.506,92.70000000000002,137.6,12.8,13.800000000000002,2016.0
80,25.8,55,14.0,31.1,0.484,76.0,OKC,2.85,33.2,7.264999999999999,36.0,110.7,5.547999999999999,2.611,2.7439999999999998,110.5,115.6,14.099999999999998,17.7,2016.0
81,23.9,35,12.8,23.1,0.513,76.5,ORL,3.2589999999999995,34.599999999999994,7.862999999999999,35.0,108.6,5.428000000000001,2.88,2.115,103.3,132.7,15.6,19.4,2016.0
82,23.3,10,14.8,20.6,0.51,74.0,PHI,3.1949999999999994,30.1,7.040000000000001,33.9,106.8,5.234,3.3510000000000004,2.63,92.6,151.3,17.1,20.8,2016.0
83,26.0,23,15.2,25.4,0.523,77.1,PHO,2.9120000000000004,28.8,7.455,33.5,103.5,5.341000000000001,2.9639999999999995,2.825,103.20000000000002,125.9,14.999999999999998,13.4,2016.0
84,24.3,44,13.2,25.9,0.503,76.2,POR,2.7939999999999996,29.0,7.419,34.90000000000001,109.1,5.488,2.944,2.9449999999999994,109.1,124.5,13.8,16.0,2016.0
